,brand,id,mois,prot,fat,ash,sodium,carb,cal,newmois
0,A,14069,27.82,21.43,44.87,5.11,1.77,0.77,4.93,8.346
1,A,14053,28.49,21.26,43.89,5.34,1.79,1.02,4.84,8.546999999999999
2,A,14025,28.35,19.99,45.78,5.08,1.63,0.8,4.95,8.505
3,A,14016,30.55,20.15,43.13,4.79,1.61,1.38,4.74,9.165
4,A,14005,30.49,21.28,41.65,4.82,1.64,1.76,4.67,9.146999999999998
5,A,14075,31.14,20.23,42.31,4.92,1.65,1.4,4.67,9.342
6,A,14082,31.21,20.97,41.34,4.71,1.58,1.77,4.63,9.363
7,A,14097,28.76,21.41,41.6,5.28,1.75,2.95,4.72,8.628
8,A,14117,28.22,20.48,45.1,5.02,1.71,1.18,4.93,8.466
9,A,14133,27.72,21.19,45.29,5.16,1.66,0.64,4.95,8.315999999999999
10,A,14101,27.35,21.2,45.59,4.94,1.65,0.92,4.98,8.205
11,A,14108,26.98,21.2,45.03,5.15,1.67,1.64,4.97,8.094
12,A,14164,28.7,20.0,45.12,4.93,1.56,1.25,4.91,8.61
13,A,14154,30.91,19.65,42.45,4.81,1.65,2.81,4.72,9.273
14,A,24005,30.91,20.77,42.03,4.9,1.61,1.39,4.67,9.273
15,A,24026,30.83,17.88,44.33,5.26,1.76,1.7,4.77,9.248999999999999
16,A,24094,32.73,20.06,39.74,5.24,1.69,2.23,4.47,9.818999999999999
17,A,24108,34.58,17.53,40.87,5.05,1.61,1.97,4.46,10.373999999999999
18,A,24102,31.8,20.35,40.44,5.43,1.61,1.98,4.53,9.54
19,A,24082,31.02,19.05,42.29,5.27,1.71,2.37,4.66,9.306
20,A,34017,27.02,19.56,47.2,4.95,1.65,1.27,5.08,8.106
21,A,34020,27.78,20.01,45.59,4.97,1.7,1.65,4.97,8.334
22,A,24136,30.88,20.58,42.26,4.96,1.63,1.32,4.68,9.264
23,A,24122,32.2,19.25,43.42,4.62,1.5,0.51,4.7,9.66
24,A,24115,33.19,18.05,41.88,5.22,1.7,1.66,4.56,9.956999999999999
25,A,34012,30.43,19.78,44.2,4.8,1.61,0.79,4.8,9.129
26,A,34006,28.93,19.99,45.2,4.78,1.62,1.1,4.91,8.679
27,A,24146,30.41,18.71,43.99,4.86,1.62,2.03,4.79,9.123
28,A,24138,29.62,21.1,43.37,5.05,1.69,0.86,4.78,8.886
147,F,34037,28.03,7.65,18.39,1.53,0.49,44.4,3.74,8.409
149,F,14118,29.79,8.17,14.35,1.49,0.46,46.2,3.46,8.937
151,F,14096,28.46,7.7,18.88,1.4,0.43,43.56,3.75,8.538
153,F,14065,28.66,7.67,16.12,1.41,0.43,46.14,3.6,8.597999999999999
155,F,14018,29.78,8.2,14.51,1.5,0.5,46.01,3.47,8.934
157,F,14152,29.92,8.11,19.23,1.51,0.48,41.23,3.7,8.976
158,F,14143,29.54,7.79,15.08,1.41,0.45,46.18,3.52,8.862
159,F,14130,28.93,8.18,19.35,1.39,0.58,42.15,3.75,8.679
160,F,14165,29.89,7.95,15.08,1.45,0.47,45.63,3.5,8.967
161,F,24035,27.65,7.78,17.3,1.29,0.4,46.25,3.72,8.295
162,F,24049,28.33,7.82,17.96,1.41,0.45,44.48,3.71,8.498999999999999
163,F,24042,29.1,8.07,20.05,1.45,0.45,41.33,3.78,8.73
164,F,24046,29.59,8.05,14.07,1.44,0.45,46.22,3.49,8.876999999999999
165,F,24055,27.93,7.88,17.49,1.44,0.47,45.26,3.96,8.379
169,F,24109,29.3,8.02,16.34,1.43,0.45,44.91,3.59,8.79
170,F,24150,29.69,7.63,15.71,1.63,0.46,45.34,3.53,8.907
171,F,24157,29.0,7.51,17.78,1.58,0.43,44.13,3.67,8.7
172,F,34035,28.98,7.7,16.67,1.48,0.47,45.17,3.62,8.693999999999999
173,F,24106,28.84,7.88,17.21,1.42,0.46,44.65,3.65,8.652
174,F,34036,28.34,7.6,18.51,1.45,0.46,44.1,3.73,8.501999999999999
175,F,34034,28.36,7.62,19.29,1.45,0.47,43.28,3.77,8.508
177,G,14145,28.15,8.23,15.45,1.41,0.45,46.76,3.59,8.444999999999999
178,G,24015,28.35,8.19,14.9,1.4,0.43,47.16,3.56,8.505
180,G,14095,28.21,8.3,15.0,1.41,0.43,47.08,3.57,8.463
181,G,14153,28.83,8.26,20.1,1.37,0.42,41.44,3.8,8.649
182,G,14017,28.29,8.05,16.72,1.31,0.43,45.63,3.65,8.487
183,G,14010,28.68,8.3,16.07,1.41,0.45,45.54,3.6,8.604
184,G,14055,27.71,8.28,15.62,1.53,0.5,46.86,3.61,8.313
185,G,14040,28.03,8.27,16.4,1.37,0.41,45.93,3.64,8.409
186,G,14026,28.13,8.34,16.19,1.42,0.45,45.92,3.63,8.439
187,G,14119,28.09,8.42,14.06,1.47,0.45,47.96,3.52,8.427
